yob,sob,qob,educ,lwage
30,18,1,14,5.987852
30,56,1,12,5.521845
30,31,1,2,5.952494
30,31,1,16,6.665316
30,46,1,12,5.901214
30,40,1,17,6.142306
30,56,1,16,5.952494
30,56,1,14,6.092223
30,56,1,18,6.468604
30,29,1,12,6.502446
30,8,1,16,6.014215
30,36,1,12,5.376904
30,23,1,12,5.176258
30,36,1,9,5.915003
30,36,1,16,5.678696
30,36,1,11,5.901214
30,18,1,12,5.805772
30,36,1,8,5.234445
30,36,1,8,5.042051
30,36,1,11,6.187514
30,9,1,6,5.891166
30,36,1,12,6.134774
30,36,1,12,5.863686
30,36,1,12,5.116621
30,36,1,6,5.106528
30,36,1,12,5.904103
30,36,1,7,3.834061
30,36,1,12,6.023816
30,36,1,7,5.181676
30,36,1,11,6.086
30,36,1,15,6.052383
30,36,1,9,6.032537
30,36,1,12,5.595926
30,36,1,8,6.097075
30,42,1,12,5.847161
30,36,1,12,6.216337
30,36,1,17,6.001272
30,36,1,12,5.97718
30,36,1,12,6.397096
30,36,1,10,5.036578
30,36,1,8,4.723808
30,36,1,12,5.521845
30,36,1,12,6.306591
30,50,1,8,5.181159
30,36,1,12,6.242485
30,9,1,12,6.991018
30,36,1,13,6.485662
30,36,1,10,4.999462
30,36,1,12,4.957316
30,36,1,12,6.175587
30,9,1,19,6.670693
30,9,1,16,5.259597
30,39,1,14,5.952494
30,36,1,16,5.952494
30,36,1,12,6.240988
30,42,1,11,5.745004
30,17,1,20,6.343336
30,36,1,12,5.595926
30,36,1,12,5.768633
30,36,1,12,5.39319
30,48,1,12,5.22709
30,36,1,12,5.992185
30,36,1,14,6.097426
30,36,1,12,5.697674
30,42,1,14,6.193767
30,36,1,8,5.013963
30,36,1,8,5.48264
30,36,1,12,5.809768
30,36,1,12,5.595926
30,36,1,12,5.289141
30,36,1,9,5.573542
30,36,1,12,5.847161
30,25,1,12,4.881064
30,36,1,18,5.568435
30,17,1,14,6.175587
30,36,1,18,6.40374
30,36,1,12,6.173994
30,55,1,16,6.620201
30,36,1,9,5.521845
30,36,1,19,6.20708
30,36,1,16,6.483019
30,36,1,18,6.191851
30,36,1,9,5.768633
30,36,1,13,5.98592
30,36,1,12,5.526448
30,36,1,12,6.134774
30,36,1,10,5.927182
30,36,1,12,5.847161
30,36,1,18,6.134774
30,36,1,12,6.163517
30,36,1,16,5.790019
30,42,1,8,-0.732368
30,21,1,17,6.250309
30,36,1,16,6.848434
30,42,1,12,5.635819
30,42,1,12,6.594229
30,36,1,12,6.082614
30,36,1,12,5.521845
30,36,1,16,6.405705
30,36,1,12,5.259597
30,36,1,10,5.961947
30,36,1,12,6.024332
30,36,1,16,6.406658
30,36,1,12,5.895938
30,36,1,11,6.2148
30,42,1,13,5.288898
30,18,1,2,5.354861
30,36,1,11,5.752878
30,36,1,10,5.521845
30,36,1,17,6.456498
30,36,1,12,6.092223
30,36,1,12,6.2451
30,17,1,19,6.891118
30,21,1,11,6.357876
30,36,1,13,6.252534
30,36,1,17,6.706133
30,36,1,12,5.595926
30,36,1,13,6.366503
30,36,1,13,6.288895
30,36,1,11,5.990743
30,36,1,16,6.024797
30,36,1,12,6.509142
30,42,1,12,5.790019
30,36,1,12,6.175587
30,36,1,12,5.978642
30,29,1,16,6.545709
30,36,1,12,6.457705
30,26,1,17,6.512002
30,36,1,16,5.748596
30,36,1,16,6.540169
30,36,1,12,5.952494
30,36,1,12,5.905634
30,42,1,12,6.047781
30,36,1,16,6.175587
30,36,1,16,4.903136
30,42,1,15,6.2148
30,36,1,12,6.158302
30,36,1,12,6.374402
30,39,1,9,5.441835
30,42,1,11,5.559572
30,36,1,12,6.175587
30,25,1,14,6.2451
30,36,1,6,6.215108
30,36,1,12,5.760175
30,36,1,11,6.357876
30,39,1,12,6.317408
30,36,1,16,6.306591
30,36,1,7,5.354861
30,42,1,17,6.125094
30,36,1,11,6.207991
30,36,1,12,6.357876
30,36,1,11,6.280288
30,36,1,12,5.790019
30,36,1,7,5.765991
30,36,1,14,5.664895
30,36,1,12,6.173586
30,36,1,19,6.092223
30,36,1,8,5.969763
30,42,1,6,6.360538
30,36,1,6,5.939918
30,36,1,12,5.521961
30,42,1,11,6.941971
30,36,1,12,5.841033
30,36,1,12,5.790019
30,36,1,14,6.313583
30,36,1,16,6.001272
30,36,1,12,5.521845
30,36,1,12,6.572686
30,36,1,14,6.057729
30,36,1,10,5.474981
30,36,1,9,5.664895
30,36,1,16,6.552864
30,36,1,14,5.978642
30,36,1,12,6.144309
30,36,1,12,5.991964
30,36,1,12,6.134774
30,36,1,12,5.901214
30,36,1,12,6.047781
30,36,1,12,6.175587
30,36,1,16,6.817347
30,36,1,12,5.635504
30,36,1,16,5.52246
30,36,1,11,5.760175
30,36,1,17,5.259597
30,36,1,12,6.252534
30,36,1,7,6.336565
30,36,1,11,6.2148
30,36,1,19,6.134774
30,36,1,13,5.847439
30,9,1,16,6.710593
30,36,1,15,5.67682
30,36,1,10,5.937891
30,36,1,12,6.214808
30,36,1,16,6.492386
30,1,1,12,6.093092
30,36,1,12,5.705384
30,36,1,8,6.047781
30,36,1,12,6.134774
30,36,1,14,6.175587
30,36,1,16,5.538354
30,36,1,12,6.211334
30,36,1,14,1.410987
30,36,1,16,6.313583
30,36,1,12,6.187118
30,36,1,11,6.085681
30,36,1,12,6.054123
30,36,1,17,6.188521
30,36,1,12,5.922382
30,36,1,13,5.521861
30,36,1,12,5.847161
30,36,1,17,7.107945
30,42,1,12,5.24753
30,36,1,17,6.087002
30,36,1,8,4.906303
30,42,1,10,4.520829
30,12,1,17,5.847161
30,36,1,7,3.310683
30,19,1,13,5.441835
30,36,1,13,5.952494
30,36,1,12,5.664895
30,6,1,10,6.000796
30,42,1,10,6.115213
30,36,1,11,5.952494
30,36,1,12,6.238362
30,36,1,12,6.306355
30,36,1,12,6.270879
30,36,1,16,5.98592
30,42,1,12,5.901214
30,36,1,14,5.952494
30,36,1,12,5.330021
30,36,1,12,5.916876
30,42,1,16,5.707302
30,42,1,9,5.423048
30,36,1,14,5.729413
30,36,1,11,5.840369
30,36,1,14,6.811435
30,42,1,14,6.512002
30,42,1,12,5.890102
30,36,1,10,3.558913
30,36,1,13,5.624087
30,36,1,10,4.903136
30,36,1,17,6.218464
30,36,1,7,5.25056
30,36,1,12,5.847161
30,34,1,8,5.677039
30,36,1,8,5.308363
30,36,1,16,6.288895
30,29,1,20,6.397138
30,36,1,12,5.952494
30,36,1,8,5.036578
30,34,1,12,5.40103
30,36,1,12,6.273784
30,17,1,12,6.512002
30,51,1,12,6.034054
30,36,1,12,5.729413
30,36,1,12,6.347827
30,36,1,8,5.275462
30,36,1,18,6.170395
30,34,1,12,5.901214
30,36,1,12,5.952494
30,36,1,16,5.739448
30,25,1,16,6.502819
30,36,1,12,5.847161
30,36,1,12,5.664895
30,36,1,14,5.841592
30,20,1,12,6.175587
30,36,1,12,6.357876
30,36,1,15,5.729413
30,36,1,12,6.2148
30,36,1,16,6.32398
30,36,1,12,6.963936
30,36,1,14,6.047781
30,36,1,6,6.148877
30,36,1,14,6.31184
30,36,1,12,6.067199
30,36,1,8,5.552885
30,47,1,12,5.394082
30,36,1,14,6.096561
30,36,1,16,5.664895
30,36,1,12,6.092223
30,36,1,12,5.788836
30,36,1,7,3.365304
30,36,1,14,6.219787
30,36,1,12,6.172266
30,36,1,12,5.704103
30,36,1,8,5.729413
30,36,1,18,5.919979
30,44,1,19,7.274
30,36,1,12,5.441835
30,36,1,14,6.2148
30,36,1,7,6.386721
30,36,1,13,5.011302
30,36,1,2,4.788325
30,36,1,12,5.259597
30,36,1,12,5.055143
30,36,1,12,4.447284
30,36,1,16,6.288895
30,36,1,12,6.092223
30,36,1,12,5.822491
30,36,1,12,5.952494
30,36,1,12,6.092223
30,34,1,12,6.357876
30,36,1,12,6.05359
30,36,1,0,5.895938
30,36,1,12,5.952494
30,36,1,19,6.043226
30,36,1,12,6.097075
30,36,1,12,6.179579
30,36,1,13,4.799914
30,36,1,13,6.175587
30,25,1,13,5.790019
30,36,1,11,5.441835
30,36,1,8,6.001272
30,36,1,13,3.749504
30,36,1,12,5.809643
30,36,1,12,6.047781
30,36,1,8,5.486631
30,36,1,12,6.167557
30,36,1,20,6.540169
30,36,1,14,5.952494
30,36,1,9,5.729413
30,36,1,12,6.273784
30,36,1,12,5.988817
30,36,1,13,6.047781
30,36,1,17,5.847161
30,27,1,16,5.809816
30,36,1,20,6.422404
30,36,1,17,6.175587
30,33,1,12,4.922554
30,36,1,17,5.441835
30,36,1,18,6.357876
30,36,1,12,6.128925
30,24,1,20,7.274
30,36,1,18,6.868635
30,36,1,12,6.237611
30,36,1,20,6.529278
30,36,1,16,6.963936
30,42,1,17,5.931786
30,36,1,12,6.134774
30,36,1,10,6.092223
30,36,1,12,5.298817
30,36,1,12,6.252534
30,36,1,12,6.52493
30,36,1,20,7.274
30,42,1,18,6.39066
30,12,1,14,6.512002
30,36,1,12,5.259597
30,39,1,20,6.645516
30,42,1,17,7.274
30,19,1,12,5.521861
30,36,1,16,6.052315
30,36,1,9,5.270531
30,36,1,12,5.521877
30,36,1,12,6.32398
30,36,1,12,5.842708
30,36,1,11,6.195386
30,36,1,12,6.047781
30,36,1,14,6.645516
30,36,1,13,5.729413
30,36,1,10,5.075799
30,36,1,12,5.441835
30,36,1,14,5.921527
30,36,1,10,5.270861
30,36,1,12,5.637875
30,36,1,13,6.175587
30,36,1,16,7.274
30,27,1,18,5.298798
30,42,1,12,5.481056
30,36,1,12,3.700827
30,36,1,12,5.345733
30,36,1,12,7.043978
30,36,1,17,6.483019
30,36,1,12,5.595926
30,36,1,10,5.899041
30,36,1,12,7.274
30,36,1,11,5.508173
30,36,1,10,5.952494
30,36,1,10,5.318216
30,36,1,12,6.645516
30,36,1,19,6.490534
30,36,1,20,6.397096
30,25,1,9,5.716838
30,36,1,8,6.28139
30,36,1,13,5.664895
30,36,1,16,6.540169
30,36,1,12,5.664895
30,36,1,10,6.288895
30,36,1,16,5.874553
30,36,1,20,6.001272
30,42,1,12,6.288895
30,36,1,9,6.252534
30,34,1,19,6.639247
30,36,1,12,6.047781
30,36,1,12,5.885302
30,36,1,12,7.221653
30,36,1,12,6.763285
30,36,1,12,5.966403
30,36,1,9,5.901214
30,36,1,14,6.175587
30,36,1,12,5.664895
30,36,1,12,6.252534
30,36,1,12,6.640504
30,36,1,16,5.193512
30,36,1,16,6.963936
30,36,1,20,6.422404
30,36,1,12,6.092223
30,36,1,14,5.441835
30,36,1,12,5.78421
30,34,1,12,6.018266
30,36,1,12,6.288895
30,36,1,12,6.483019
30,36,1,16,6.763285
30,36,1,13,6.357876
30,42,1,14,5.354861
30,36,1,12,6.161491
30,54,1,20,6.061322
30,36,1,12,5.521845
30,34,1,18,6.740815
30,36,1,12,5.952494
30,36,1,12,6.806766
30,34,1,11,5.817283
30,36,1,20,6.175587
30,36,1,18,5.608697
30,36,1,15,5.036578
30,36,1,16,6.357876
30,36,1,12,6.252534
30,24,1,18,7.274
30,18,1,15,6.540169
30,25,1,16,6.252534
30,36,1,16,6.175587
30,36,1,12,6.645516
30,36,1,12,6.437905
30,36,1,13,4.830312
30,36,1,12,5.505924
30,36,1,10,5.664895
30,36,1,12,5.441835
30,42,1,15,6.785262
30,36,1,9,3.222715
30,36,1,12,5.809476
30,42,1,17,6.175587
30,36,1,18,6.512002
30,36,1,15,6.11797
30,36,1,16,6.483019
30,36,1,10,5.521845
30,36,1,16,6.134774
30,36,1,19,6.588953
30,36,1,12,6.422404
30,36,1,18,6.422404
30,36,1,8,5.441835
30,36,1,12,5.664895
30,10,1,10,6.45697
30,36,1,9,5.224978
30,36,1,12,6.357876
30,36,1,13,5.930254
30,36,1,12,5.790019
30,36,1,17,5.952494
30,21,1,12,6.2148
30,36,1,12,5.729413
30,36,1,8,5.896467
30,36,1,14,5.093632
30,36,1,12,5.521845
30,36,1,16,6.827817
30,36,1,19,6.433058
30,36,1,12,5.991715
30,36,1,16,6.255122
30,36,1,12,5.9346
30,36,1,14,6.540169
30,36,1,16,6.620351
30,36,1,12,5.521845
30,36,1,16,7.10763
30,36,1,11,5.952494
30,36,1,6,5.99873
30,36,1,12,6.175587
30,36,1,19,6.878584
30,36,1,19,6.656584
30,36,1,16,5.664895
30,36,1,12,5.664895
30,36,1,19,6.320526
30,23,1,12,5.562529
30,36,1,14,6.357876
30,36,1,19,6.675556
30,36,1,12,5.529505
30,36,1,14,6.266507
30,36,1,14,5.847161
30,36,1,13,6.945588
30,36,1,12,5.952494
30,36,1,13,5.856474
30,36,1,10,7.252611
30,36,1,16,6.294843
30,36,1,12,5.521961
30,36,1,19,3.95898
30,36,1,20,7.274
30,36,1,14,5.298817
30,36,1,18,6.416135
30,36,1,13,6.771473
30,36,1,16,5.847161
30,36,1,14,5.600912
30,36,1,18,6.047781
30,36,1,12,6.357876
30,36,1,16,6.645516
30,36,1,16,5.748831
30,36,1,12,5.847161
30,36,1,11,5.952494
30,36,1,14,6.357876
30,36,1,17,6.134774
30,36,1,16,6.103462
30,17,1,16,6.2148
30,36,1,18,7.274
30,36,1,12,3.848335
30,36,1,12,6.645516
30,36,1,12,6.001272
30,36,1,14,6.113725
30,36,1,12,5.259597
30,36,1,20,6.001272
30,36,1,10,5.960637
30,36,1,12,5.952494
30,36,1,12,6.984809
30,36,1,20,7.274
30,36,1,20,6.537945
30,18,1,12,5.788842
30,36,1,14,6.120086
30,36,1,17,6.112852
30,36,1,10,5.744938
30,36,1,12,6.175587
30,36,1,12,5.952494
30,36,1,20,6.502446
30,24,1,14,6.567565
30,36,1,16,6.39709
30,36,1,13,5.901214
30,36,1,12,6.39066
30,42,1,12,6.001272
30,36,1,10,6.23309
30,36,1,19,6.6073
30,36,1,12,5.809455
30,36,1,14,5.59664
30,36,1,14,6.422404
30,36,1,12,5.790019
30,36,1,11,5.354861
30,36,1,12,6.15089
30,36,1,13,6.214808
30,17,1,13,5.664895
30,36,1,12,6.32398
30,33,1,14,6.453171
30,36,1,14,6.070249
30,36,1,12,5.790019
30,36,1,13,5.441835
30,36,1,12,5.952494
30,24,1,12,6.263636
30,36,1,11,6.047781
30,36,1,19,3.365304
30,26,1,18,6.868635
30,36,1,11,6.092223
30,36,1,16,7.641924
30,36,1,12,5.729413
30,36,1,10,6.032537
30,36,1,12,5.011302
30,34,1,10,5.521845
30,36,1,10,6.358042
30,17,1,16,6.645516
30,36,1,14,6.233845
30,36,1,20,6.650073
30,36,1,12,4.321646
30,36,1,6,6.214858
30,36,1,16,6.241362
30,36,1,14,5.952494
30,36,1,12,6.288895
30,36,1,11,3.404525
30,36,1,8,6.31149
30,36,1,20,6.369802
30,36,1,12,6.645516
30,36,1,14,6.013574
30,36,1,8,5.691204
30,36,1,12,5.356677
30,55,1,13,6.2148
30,37,1,13,6.173994
30,4,1,4,5.559572
30,54,1,13,5.664895
30,39,1,10,6.040493
30,17,1,14,5.847161
30,6,1,14,7.274
30,4,1,19,5.847161
30,26,1,12,6.600471
30,17,1,12,6.540169
30,53,1,16,5.869677
30,4,1,12,5.704116
30,4,1,8,6.163578
30,36,1,16,6.160274
30,55,1,15,5.664895
30,5,1,13,6.252534
30,18,1,12,6.454382
30,39,1,12,5.745004
30,50,1,12,5.87779
30,4,1,13,5.81144
30,18,1,12,5.771621
30,48,1,12,5.238384
30,29,1,12,6.087867
30,37,1,12,5.847161
30,44,1,12,4.908356
30,19,1,12,6.128086
30,4,1,12,5.259597
30,48,1,12,6.272514
30,4,1,12,4.749104
30,4,1,16,6.594229
30,34,1,16,5.154292
30,48,1,7,4.934059
30,42,1,16,7.142599
30,54,1,12,5.790019
30,18,1,12,6.374402
30,4,1,16,6.731225
30,29,1,8,7.274
30,42,1,12,5.962442
30,31,1,15,5.937384
30,17,1,12,5.188138
30,36,1,12,5.441835
30,36,1,13,6.252534
30,39,1,12,6.065796
30,26,1,16,6.425523
30,39,1,12,5.664895
30,42,1,13,5.637875
30,36,1,12,6.389161
30,42,1,16,6.047781
30,34,1,8,6.288895
30,55,1,13,6.594229
30,18,1,12,5.664895
30,19,1,12,6.092223
30,36,1,12,6.081296
30,19,1,12,5.952494
30,54,1,10,5.847161
30,40,1,14,6.134774
30,4,1,8,6.045051
30,39,1,14,6.580986
30,51,1,12,6.306591
30,36,1,18,6.357876
30,20,1,11,5.847161
30,26,1,11,5.765991
30,36,1,10,4.874169
30,36,1,20,6.868635
30,39,1,14,6.047781
30,54,1,20,7.274
30,17,1,15,6.440977
30,26,1,13,4.056789
30,19,1,14,6.872232
30,4,1,12,6.134774
30,48,1,12,6.134774
30,19,1,12,5.354861
30,6,1,14,5.664895
30,26,1,16,6.252534
30,36,1,14,6.380546
30,55,1,12,5.521845
30,35,1,9,5.664895
30,25,1,8,5.828663
30,16,1,12,6.155389
30,55,1,20,6.357876
30,31,1,12,6.001272
30,30,1,12,6.214858
30,16,1,12,6.047781
30,12,1,12,4.57166
30,49,1,14,6.2148
30,20,1,8,5.664895
30,17,1,12,6.175587
30,41,1,14,6.047781
30,40,1,9,4.869072
30,41,1,8,4.566949
30,30,1,12,5.491002
30,20,1,13,5.328569
30,38,1,16,5.96046
30,16,1,12,6.087002
30,31,1,12,5.952494
30,16,1,12,6.047781
30,16,1,10,5.000164
30,16,1,12,5.901214
30,16,1,17,5.481056
30,49,1,16,6.302372
30,19,1,14,5.833742
30,16,1,12,5.311426
30,16,1,9,6.034054
30,40,1,12,6.038651
30,16,1,12,5.51996
30,6,1,18,5.813269
30,16,1,12,5.843823
30,17,1,12,5.901214
30,16,1,8,5.622942
30,16,1,12,5.521845
30,16,1,14,6.040493
30,27,1,14,4.969162
30,6,1,18,6.39066
30,39,1,16,6.6943
30,27,1,17,7.050939
30,31,1,15,7.115473
30,36,1,13,5.952494
30,9,1,12,5.901214
30,9,1,15,6.645516
30,9,1,12,5.952494
30,36,1,16,7.18866
30,9,1,12,5.795882
30,36,1,19,6.907948
30,48,1,18,7.293418
30,36,1,12,7.274
30,36,1,16,7.130976
30,9,1,16,7.018419
30,44,1,18,6.806766
30,19,1,16,7.354042
30,44,1,20,5.991777
30,55,1,20,7.274
30,9,1,20,6.259277
30,9,1,16,6.763285
30,34,1,10,5.631005
30,17,1,17,6.422404
30,9,1,9,5.220875
30,9,1,10,5.952494
30,9,1,12,6.113725
30,9,1,10,5.7632
30,42,1,7,5.805193
30,9,1,12,5.664895
30,25,1,12,6.357876
30,29,1,13,5.98081
30,9,1,12,4.64799
30,36,1,16,4.903136
30,25,1,13,6.907912
30,4,1,12,5.664895
30,9,1,11,6.001272
30,25,1,14,5.595926
30,9,1,7,6.065126
30,9,1,14,5.847161
30,9,1,18,6.288895
30,9,1,0,5.036578
30,39,1,16,6.357876
30,9,1,12,5.818998
30,9,1,10,6.232712
30,9,1,12,6.353199
30,9,1,16,6.289609
30,9,1,16,6.763285
30,9,1,16,6.320948
30,42,1,9,5.259597
30,25,1,17,6.645516
30,9,1,18,5.949991
30,42,1,13,6.181966
30,50,1,16,6.743991
30,44,1,11,5.559572
30,9,1,12,5.595926
30,50,1,12,6.05359
30,25,1,12,6.047781
30,9,1,10,5.847161
30,24,1,12,5.994105
30,25,1,3,5.668803
30,9,1,12,6.175587
30,25,1,17,6.657937
30,25,1,11,6.2148
30,42,1,12,5.952494
30,9,1,12,5.668803
30,42,1,17,5.521845
30,44,1,20,7.050939
30,9,1,11,5.953992
30,9,1,12,5.441835
30,9,1,16,5.90174
30,9,1,10,5.339639
30,9,1,12,6.107205
30,9,1,15,6.237235
30,9,1,10,5.664895
30,9,1,12,5.952494
30,39,1,16,6.907851
30,42,1,18,6.645516
30,9,1,16,5.729413
30,9,1,12,6.134774
30,9,1,18,6.005398
30,9,1,17,5.488222
30,42,1,14,6.422404
30,9,1,12,5.97425
30,9,1,9,5.534073
30,9,1,12,6.2148
30,9,1,12,6.175587
30,9,1,8,6.291754
30,9,1,12,5.744938
30,36,1,12,5.831488
30,9,1,14,5.631005
30,25,1,14,6.092223
30,25,1,13,5.809816
30,25,1,12,5.96046
30,33,1,14,6.357876
30,36,1,12,5.847161
30,9,1,10,5.847161
30,25,1,12,5.200938
30,44,1,16,6.827817
30,9,1,12,6.357876
30,9,1,12,5.664895
30,9,1,12,6.001272
30,9,1,12,5.193512
30,23,1,12,3.296549
30,9,1,12,5.768633
30,6,1,6,5.521845
30,9,1,10,6.194201
30,42,1,8,6.551437
30,42,1,10,6.214886
30,9,1,12,5.952494
30,9,1,14,6.644265
30,36,1,17,6.003045
30,17,1,12,6.594229
30,9,1,12,6.155389
30,25,1,20,6.175587
30,23,1,12,5.441835
30,9,1,12,5.441835
30,34,1,12,5.952494
30,9,1,8,5.441835
30,1,1,12,5.239404
30,1,1,0,5.234445
30,1,1,12,6.288895
30,47,1,16,5.886905
30,47,1,12,6.33222
30,39,1,12,6.047781
30,1,1,10,6.422404
30,1,1,12,5.607286
30,1,1,12,6.154192
30,1,1,12,6.047781
30,1,1,9,5.952494
30,1,1,12,5.778188
30,17,1,12,6.410143
30,1,1,10,5.729413
30,25,1,12,5.779377
30,1,1,14,5.958683
30,12,1,12,6.39066
30,1,1,12,5.108855
30,1,1,12,6.175587
30,55,1,8,5.991715
30,1,1,10,5.651477
30,25,1,15,5.354861
30,1,1,12,4.607091
30,1,1,7,5.521845
30,1,1,15,5.259597
30,1,1,14,5.675969
30,1,1,16,6.125987
30,1,1,12,6.422404
30,1,1,8,4.903136
30,1,1,6,5.715572
30,1,1,12,5.790019
30,1,1,3,3.00072
30,1,1,10,5.901214
30,1,1,14,5.952494
30,1,1,12,6.040493
30,1,1,8,4.64799
30,1,1,4,5.487427
30,5,1,9,5.790019
30,1,1,12,5.898052
30,1,1,12,5.847161
30,1,1,12,5.726284
30,1,1,12,5.80113
30,1,1,17,5.445899
30,1,1,12,6.357876
30,1,1,14,5.812936
30,1,1,12,5.664895
30,1,1,12,5.790019
30,1,1,4,7.418581
30,1,1,4,5.394082
30,1,1,5,5.631996
30,1,1,12,5.441835
30,1,1,12,6.155389
30,1,1,9,4.829147
30,1,1,10,4.027136
30,1,1,12,5.901214
30,51,1,16,5.809768
30,49,1,16,6.357876
30,1,1,13,6.845982
30,1,1,16,6.589746
30,1,1,11,5.382199
30,1,1,12,6.001272
30,13,1,15,6.357876
30,28,1,8,3.89847
30,1,1,12,5.901214
30,5,1,12,5.784121
30,1,1,12,-0.980829
30,1,1,12,5.53635
30,47,1,17,6.512002
30,17,1,12,6.047781
30,1,1,10,5.704199
30,1,1,12,5.259597
30,1,1,6,5.840474
30,1,1,11,5.058815
30,1,1,6,5.121557
30,1,1,12,6.562145
30,5,1,16,5.881754
30,1,1,19,5.441835
30,1,1,12,5.441835
30,1,1,15,6.134774
30,1,1,4,5.441835
30,13,1,5,5.501651
30,1,1,12,4.728918
30,1,1,8,5.075799
30,1,1,3,5.259597
30,1,1,18,6.068025
30,1,1,12,5.729413
30,38,1,9,5.521845
30,1,1,11,4.877836
30,1,1,12,6.178383
30,48,1,20,5.952494
30,28,1,11,6.485369
30,1,1,9,5.664895
30,39,1,17,6.783957
30,1,1,14,6.40316
30,1,1,20,6.356208
30,55,1,20,6.645516
30,1,1,12,5.690428
30,47,1,18,5.716205
30,28,1,11,5.704103
30,17,1,12,6.453171
30,12,1,12,6.131444
30,1,1,12,6.001272
30,1,1,3,4.607667
30,13,1,14,6.512002
30,1,1,5,5.305677
30,5,1,12,5.754707
30,12,1,8,5.306321
30,26,1,16,5.568418
30,42,1,17,6.448311
30,1,1,12,4.461699
30,48,1,13,5.449338
30,19,1,19,5.952494
30,19,1,12,5.790019
30,31,1,8,6.553961
30,19,1,12,5.664895
30,27,1,14,6.092223
30,19,1,12,5.952494
30,19,1,12,5.840474
30,19,1,12,5.521845
30,19,1,12,6.32398
30,19,1,12,5.911682
30,19,1,13,5.914282
30,19,1,8,5.952494
30,19,1,12,4.903136
30,19,1,10,5.826964
30,19,1,12,5.775208
30,55,1,8,6.263636
30,19,1,12,5.441835
30,55,1,12,6.192245
30,19,1,12,5.963925
30,19,1,12,5.952494
30,19,1,8,5.399293
30,19,1,8,5.664895
30,19,1,8,5.729413
30,46,1,12,5.847161
30,19,1,12,6.473194
30,19,1,12,6.772134
30,19,1,12,5.462446
30,19,1,12,6.252534
30,19,1,12,7.205078
30,19,1,12,5.721257
30,19,1,14,5.901214
30,19,1,12,5.741831
